CUSTOMER_ID,STATE,ZIP_CODE,ORDER_ID,ORDER_DATE,PRODUCT_ID,ITEM_NAME,QUANTITY,UNIT_PRICE,PET_PROFILE_ID
1154095,FL,32210-3415,251842933,2020-01-03,112774,"Rug Doctor Platinum Professional Spot & Stain Remover, 24-oz bottle",3,23.6200,
1154095,FL,32210-3415,251725751,2020-01-06,164810,"Blueberry Pet Zigzag Tribal Pattern Dog Collar, Cerise Pink, Medium",2,119.9900,
1154095,FL,32210-3415,252705834,2020-01-07,112774,"Rug Doctor Platinum Professional Spot & Stain Remover, 24-oz bottle",3,23.6200,
1154095,FL,32210-3415,253558538,2020-01-10,200149,"UBite Raw Bits Wild Pacific Salmon Freeze-Dried Dog Treats, 1.4-oz bag",2,1.6900,
1154095,FL,32210-3415,253558538,2020-01-10,114018,"Resco Wrap Comb for Dogs, Cats & Small Pets",2,15.2700,
1154095,FL,32210-3415,254715053,2020-01-14,191386,"Mazuri Original 5M21 Tortoise Food, 25-lb bag",1,15.9900,
1154095,FL,32210-3415,255998186,2020-01-19,113946,"EzyDog Doggy Flotation Device Life Jacket, Red, X-Small ",7,7.7900,
1154095,FL,32210-3415,257466558,2020-01-25,218098,BIXBI Rawbble Pork Recipe Grain-Free Freeze-Dried Dog Food,1,9.9900,
1154095,FL,32210-3415,257466558,2020-01-25,127241,"Fab Dog Plaid Boucle Dog Coat, Black/White, 8""",3,7.8300,
1154095,FL,32210-3415,257466558,2020-01-25,123298,"FurHaven Dog Kennel & Crate Pad, Green/Gray, Small",1,15.8400,
1154095,FL,32210-3415,257466661,2020-01-25,191388,"Mazuri Herbivorous Reptile Food, 25-lb bag",1,17.8900,
1154095,FL,32210-3415,257466661,2020-01-25,189863,"CollarDirect Rolled Leather Dog Collar, Blue, X-Small: 7 to 8-in neck, 3/8-in wide",1,1.8000,
1154095,FL,32210-3415,258904775,2020-01-30,176774,"Pets First NHL Hockey Stick Plush Dog Toy, Tampa Bay Lightning",10,6.9200,
1154095,FL,32210-3415,259778011,2020-02-02,187920,fouFIT Angry Emoji Squeaky Plush Dog Toy,1,1.9500,
1154095,FL,32210-3415,259778011,2020-02-02,104026,"ZippyPaws Climbers Mountain Original Climbing Rope Dog Leash, Purple, 6-ft",3,16.0500,
