CustomerID,PetName,ReviewText,PetType,Breed,LifeStage,Gender,SizeCategory,Weight,Birthday,ProductID,ProductName,Rating,ReviewDate
1154095,sue ling,"replaced my older wire ones, same size, but these are made better. wire one the place where the cat sits had a thin plastic cover that snapped over the wires, after a while, duck tape was holding them together.this one place where the cat sits is one sturdy piece of hard plastic that will not bend or break like the wire one did. I love them and so does my cats. easy for a 66 yr old female to put together with just a screwdriver. took less than an hour, would have been sooner but the cats wouldn't stay out of it. glad I got them and they were on sale.",Cat,American- Shorthair,A,FMLE,UNK,UNK,2016-01-01,137840,"IRIS 3-Tier Plastic Cat Cage Playpen, Tan",5,2020-01-15 10:13:37.000
1154095,sugar,"replaced my older wire ones, same size, but these are made better. wire one the place where the cat sits had a thin plastic cover that snapped over the wires, after a while, duck tape was holding them together.this one place where the cat sits is one sturdy piece of hard plastic that will not bend or break like the wire one did. I love them and so does my cats. easy for a 66 yr old female to put together with just a screwdriver. took less than an hour, would have been sooner but the cats wouldn't stay out of it. glad I got them and they were on sale.",Cat,Other,UNK,UNKN,UNK,UNK,UNK,137840,"IRIS 3-Tier Plastic Cat Cage Playpen, Tan",5,2020-01-15 10:13:37.000
1154095,sue ling,"no tools needed, didn't take long, love the curved sides. got for an older cat who doesn't use the litter box, trying to see if this will help. very stable, only thing I got 4 wheels with no locks on any. picture shows locks. will call company tomorrow and see what is up with that. nice large shelves, fit really tight, no problem with cats jumping on them. my other cats love just sitting inside, use the small telfon bedding that I got from chewys. the orange really looks great inside and fits just right. would buy again.",Cat,American- Shorthair,A,FMLE,UNK,UNK,2016-01-01,143767,Prevue Pet Products Deluxe Cat Cage Playpen,5,2020-02-26 11:52:12.000
1154095,sugar,"no tools needed, didn't take long, love the curved sides. got for an older cat who doesn't use the litter box, trying to see if this will help. very stable, only thing I got 4 wheels with no locks on any. picture shows locks. will call company tomorrow and see what is up with that. nice large shelves, fit really tight, no problem with cats jumping on them. my other cats love just sitting inside, use the small telfon bedding that I got from chewys. the orange really looks great inside and fits just right. would buy again.",Cat,Other,UNK,UNKN,UNK,UNK,UNK,143767,Prevue Pet Products Deluxe Cat Cage Playpen,5,2020-02-26 11:52:12.000
1154095,sue ling,"our older cat has eatting problems and dental problems, this bowl has helped him eat better, we noticed it the first time we tried it.  no more throwing up, takes his time to eat, no longer trying to stand up and bend his head down,  he eats more food now. the color is very pretty, will have to buy more, my cats are getting up in age.",Cat,American- Shorthair,A,FMLE,UNK,UNK,2016-01-01,169390,"Necoichi Raised Cat Food Bowl, Sakura",5,2020-06-28 07:45:34.000
1154095,sugar,"our older cat has eatting problems and dental problems, this bowl has helped him eat better, we noticed it the first time we tried it.  no more throwing up, takes his time to eat, no longer trying to stand up and bend his head down,  he eats more food now. the color is very pretty, will have to buy more, my cats are getting up in age.",Cat,Other,UNK,UNKN,UNK,UNK,UNK,169390,"Necoichi Raised Cat Food Bowl, Sakura",5,2020-06-28 07:45:34.000
1154095,sue ling,"feed 6 neighbors cats outside, its hard to get them to eat the same food, but they all love this favor, great price will order more",Cat,American- Shorthair,A,FMLE,UNK,UNK,2016-01-01,216201,"Friskies Stuf'd & Sauc'd Jump'n Turkey & Dripp'n Gravy Wet Cat Food, 5.5-oz can, case of 24",5,2020-07-21 07:35:10.000
1154095,sugar,"feed 6 neighbors cats outside, its hard to get them to eat the same food, but they all love this favor, great price will order more",Cat,Other,UNK,UNKN,UNK,UNK,UNK,216201,"Friskies Stuf'd & Sauc'd Jump'n Turkey & Dripp'n Gravy Wet Cat Food, 5.5-oz can, case of 24",5,2020-07-21 07:35:10.000
1154095,sue ling,"10 picky cats ate it, liked that its not large pieces, my cats are older and wont eat the larger ones.  got chicken flavor, they seem to like chicken better than the other flavors.",Cat,American- Shorthair,A,FMLE,UNK,UNK,2016-01-01,52051,CANIDAE Grain-Free PURE Limited Ingredient Chicken Recipe Dry Cat Food,5,2020-10-21 23:24:05.000
1154095,sugar,"10 picky cats ate it, liked that its not large pieces, my cats are older and wont eat the larger ones.  got chicken flavor, they seem to like chicken better than the other flavors.",Cat,Other,UNK,UNKN,UNK,UNK,UNK,52051,CANIDAE Grain-Free PURE Limited Ingredient Chicken Recipe Dry Cat Food,5,2020-10-21 23:24:05.000
