CustomerID,ProductID,ProductName,OrderDate,Quantity,Price
1154095,112774,"Rug Doctor Platinum Professional Spot & Stain Remover, 24-oz bottle",2020-01-03,3,23.62
1154095,164810,"Blueberry Pet Zigzag Tribal Pattern Dog Collar, Cerise Pink, Medium",2020-01-06,2,119.99
1154095,112774,"Rug Doctor Platinum Professional Spot & Stain Remover, 24-oz bottle",2020-01-07,3,23.62
1154095,200149,"UBite Raw Bits Wild Pacific Salmon Freeze-Dried Dog Treats, 1.4-oz bag",2020-01-10,2,1.69
1154095,114018,"Resco Wrap Comb for Dogs, Cats & Small Pets",2020-01-10,2,15.27
1154095,191386,"Mazuri Original 5M21 Tortoise Food, 25-lb bag",2020-01-14,1,15.99
1154095,113946,"EzyDog Doggy Flotation Device Life Jacket, Red, X-Small ",2020-01-19,7,7.79
1154095,123298,"FurHaven Dog Kennel & Crate Pad, Green/Gray, Small",2020-01-25,1,15.84
1154095,218098,BIXBI Rawbble Pork Recipe Grain-Free Freeze-Dried Dog Food,2020-01-25,1,9.99
1154095,189863,"CollarDirect Rolled Leather Dog Collar, Blue, X-Small: 7 to 8-in neck, 3/8-in wide",2020-01-25,1,1.8
1154095,127241,"Fab Dog Plaid Boucle Dog Coat, Black/White, 8""",2020-01-25,3,7.83
1154095,191388,"Mazuri Herbivorous Reptile Food, 25-lb bag",2020-01-25,1,17.89
1154095,176774,"Pets First NHL Hockey Stick Plush Dog Toy, Tampa Bay Lightning",2020-01-30,10,6.92
1154095,104026,"ZippyPaws Climbers Mountain Original Climbing Rope Dog Leash, Purple, 6-ft",2020-02-02,3,16.05
1154095,187920,fouFIT Angry Emoji Squeaky Plush Dog Toy,2020-02-02,1,1.95
1154095,133593,"Jax & Bones Brent the Brontosaurus Rope Dog Toy, Large",2020-02-03,1,8.28
1154095,104026,"ZippyPaws Climbers Mountain Original Climbing Rope Dog Leash, Purple, 6-ft",2020-02-03,3,16.05
1154095,133593,"Jax & Bones Brent the Brontosaurus Rope Dog Toy, Large",2020-02-03,5,8.28
1154095,176774,"Pets First NHL Hockey Stick Plush Dog Toy, Tampa Bay Lightning",2020-02-03,6,6.92
1154095,104026,"ZippyPaws Climbers Mountain Original Climbing Rope Dog Leash, Purple, 6-ft",2020-02-06,2,16.05
1154095,133593,"Jax & Bones Brent the Brontosaurus Rope Dog Toy, Large",2020-02-06,4,8.28
1154095,119347,"Doggie Design American River Ombre Nylon Reflective Back Clip Dog Harness, Raspberry Pink & Orange, X-Small: 11 to 13-in chest",2020-02-07,2,17.59
1154095,133593,"Jax & Bones Brent the Brontosaurus Rope Dog Toy, Large",2020-02-07,4,8.28
1154095,104026,"ZippyPaws Climbers Mountain Original Climbing Rope Dog Leash, Purple, 6-ft",2020-02-10,3,15.25
1154095,176774,"Pets First NHL Hockey Stick Plush Dog Toy, Tampa Bay Lightning",2020-02-10,1,6.92
1154095,176774,"Pets First NHL Hockey Stick Plush Dog Toy, Tampa Bay Lightning",2020-02-12,8,6.92
1154095,193062,"Best Pet Supplies Lattice Print Foam Cat & Dog Stairs, Brown, Large",2020-02-17,1,1.61
1154095,187828,"Bowsers Plush Monogram Throw Dog & Cat Blanket, Bali",2020-02-17,5,9.69
1154095,108125,"Plato Small Bites Slow Roasted Salmon Dog Treats, 4-oz bag",2020-02-22,4,6.96
1154095,117655,"Lucky Premium Treats Chicken Wrapped Rawhide Dog Treats, 12 count",2020-02-22,3,13.74
1154095,52888,"Darford Veggie Hearts Dog Treats, 14.1-oz bag",2020-02-22,3,15.27
1154095,121429,"Lixit Wide Mouth Small Animal Water Bottle, 8-oz",2020-02-22,1,15.27
1154095,108125,"Plato Small Bites Slow Roasted Salmon Dog Treats, 4-oz bag",2020-02-24,3,6.96
1154095,52888,"Darford Veggie Hearts Dog Treats, 14.1-oz bag",2020-02-24,1,15.27
1154095,117655,"Lucky Premium Treats Chicken Wrapped Rawhide Dog Treats, 12 count",2020-02-24,3,12.37
1154095,108125,"Plato Small Bites Slow Roasted Salmon Dog Treats, 4-oz bag",2020-02-25,4,6.96
1154095,117655,"Lucky Premium Treats Chicken Wrapped Rawhide Dog Treats, 12 count",2020-02-25,2,12.37
1154095,108125,"Plato Small Bites Slow Roasted Salmon Dog Treats, 4-oz bag",2020-02-28,2,6.96
1154095,181616,"Plato Original Real Strips Salmon Recipe Dog Treats, 3-oz bag",2020-02-28,1,11.88
1154095,210961,"Soos Pets Waterless Pet Bath Mousse, 5.4-fl oz bottle",2020-02-28,2,9.98
1154095,176774,"Pets First NHL Hockey Stick Plush Dog Toy, Tampa Bay Lightning",2020-02-28,2,6.92
1154095,210961,"Soos Pets Waterless Pet Bath Mousse, 5.4-fl oz bottle",2020-02-29,5,7.48
1154095,206218,"Formula of Champions Smooth Design 20% Protein Show Pig Feed, 50-lb bag",2020-02-29,2,10.16
1154095,162630,"Pets First NHL Hockey Dog & Cat Jersey, Tampa Bay Lightning, X-Large",2020-03-01,4,17.38
1154095,178155,"Quality Pet Company Paw Nectar Organic Dog Paw Wax, 2-oz",2020-03-03,3,12.99
1154095,219154,"Shake It Pup! Barkin' BBQ Dog Food Topper, 4.5-oz bottle",2020-03-03,1,45.49
1154095,106178,Python No Spill Clean & Fill Aquarium Maintenance System,2020-03-06,1,11.99
1154095,143376,"Rubie's Costume Company Nickelodeon Catdog Dog & Cat Costume, Large",2020-03-06,1,11.99
1154095,143373,Rubie's Costume Company Nickelodeon Catdog Dog & Cat Costume,2020-03-06,1,10.99
1154095,110923,"Pet Life Fashion Plush Cotton Hooded Dog Sweater, Brown, Small",2020-03-06,1,12.99
1154095,130266,Conversation Concepts German Shepherd Figurine,2020-03-06,1,1.43
1154095,162630,"Pets First NHL Hockey Dog & Cat Jersey, Tampa Bay Lightning, X-Large",2020-03-08,3,17.31
1154095,181616,"Plato Original Real Strips Salmon Recipe Dog Treats, 3-oz bag",2020-03-08,1,0.0
1154095,108125,"Plato Small Bites Slow Roasted Salmon Dog Treats, 4-oz bag",2020-03-08,2,0.0
1154095,176774,"Pets First NHL Hockey Stick Plush Dog Toy, Tampa Bay Lightning",2020-03-08,2,0.0
1154095,117681,The Mountain Big Face Black Lab Kids Short Sleeve T-Shirt,2020-03-12,3,13.17
1154095,162630,"Pets First NHL Hockey Dog & Cat Jersey, Tampa Bay Lightning, X-Large",2020-03-12,1,17.31
1154095,176774,"Pets First NHL Hockey Stick Plush Dog Toy, Tampa Bay Lightning",2020-03-13,2,6.92
1154095,110923,"Pet Life Fashion Plush Cotton Hooded Dog Sweater, Brown, Small",2020-03-13,1,12.99
1154095,117681,The Mountain Big Face Black Lab Kids Short Sleeve T-Shirt,2020-03-13,1,13.17
1154095,176774,"Pets First NHL Hockey Stick Plush Dog Toy, Tampa Bay Lightning",2020-03-17,10,6.92
1154095,176790,"Pets First NHL Hockey Puck Rope Dog Toy, Philadelphia Flyers",2020-03-17,4,8.78
1154095,188379,"Carolina Pet Comfy Cup Memory Foam Bolster Dog Bed with Removable Cover, Saddle, Medium",2020-03-17,1,14.29
1154095,181473,Eyenimal Complete Classic Dog Fence Set,2020-03-18,2,3.6
1154095,158840,"Frisco Front Walking Cowboy Dog & Cat Costume, Large",2020-03-18,4,12.99
1154095,176790,"Pets First NHL Hockey Puck Rope Dog Toy, Philadelphia Flyers",2020-03-24,4,0.0
1154095,209473,"Exclusively Dog Boho Biscuits Well-Balanced Waffles Peanut Butter Flavor Dog Treats, 8-oz bag",2020-03-26,5,10.96
1154095,176774,"Pets First NHL Hockey Stick Plush Dog Toy, Tampa Bay Lightning",2020-03-30,8,6.92
1154095,45916,"Nutro Max Chicken, Rice & Turkey Canned Dog Food",2020-04-03,4,5.99
1154095,190457,"FUZZU That Sneaky Cat! Scuff Squeaker Dog Toy, Large",2020-04-03,1,28.39
1154095,158840,"Frisco Front Walking Cowboy Dog & Cat Costume, Large",2020-04-04,4,12.99
1154095,209849,"Mosaic Birds Hummble Basic Bird Feeder, Aqua",2020-04-04,1,7.99
1154095,158840,"Frisco Front Walking Cowboy Dog & Cat Costume, Large",2020-04-09,4,12.99
1154095,209690,"Health Extension Chicken Pure Dried Grain-Free Cat Treats, 0.6-oz bag",2020-04-09,4,4.1
1154095,191401,"Mazuri Koi Platinum Ogata for Fish Over 12 Inches Food, 20-lb bag",2020-04-10,6,2.76
1154095,109713,"Bones & Chews Himalayan Yak Cheese Jumbo Dog Treats, 1 count",2020-04-10,1,7.43
1154095,180840,"HuggleHounds College Mascot Plush Corduroy Knottie Squeaky Plush Dog Toy, Stanford University, Large",2020-04-10,1,6.59
1154095,52813,Earthborn Holistic Toby's Turkey Dinner Grain-Free Natural Moist Dog Food,2020-04-10,1,19.98
1154095,117118,"Sassy Dog Wear Multi Stripe Dog Leash, Orange, Large",2020-04-17,1,16.05
1154095,209473,"Exclusively Dog Boho Biscuits Well-Balanced Waffles Peanut Butter Flavor Dog Treats, 8-oz bag",2020-04-17,3,10.96
1154095,101386,"Caitec Paradise Sisal Bungie Bird Toy, 1-inch",2020-04-17,1,14.47
1154095,151294,"Frontline Gold for Dogs Flea & Tick Treatment (Large Dog, 45-88 lbs.)",2020-04-19,1,26.95
1154095,209849,"Mosaic Birds Hummble Basic Bird Feeder, Aqua",2020-04-19,4,7.99
1154095,110837,"Pet Life Lightweight Sporty Avalanche Dog Coat, Green, Small",2020-04-23,1,9.99
1154095,155162,"Charming Pet Balloon Dog Toy, Monkey, X-Small",2020-04-23,1,30.49
1154095,110923,"Pet Life Fashion Plush Cotton Hooded Dog Sweater, Brown, Small",2020-04-23,1,12.99
1154095,210783,"Bass Brushes The Hybrid Dog & Cat Groomer Paddle Brush, Bamboo-Dark Finish, Medium",2020-04-23,1,14.97
